store_id,model_id,allocated_units,week_start_date,strategy,flow_stockout,flow_weeks_of_cover,flow_dead_stock,flow_realized_cogs,flow_inventory_value,flow_markdown_loss,acquisition_cost,capital_tied_up
BLR-08,F18,2,2026-08-17,real_engine,0,20.0,1,0,86183917,58732.0,117464,234928
BLR-05,F19,1,2026-08-17,real_engine,0,1.0,1,0,86282016,24524.75,98099,98099
BLR-02,F12,1,2026-08-17,real_engine,0,1.0,1,0,86380312,24574.0,98296,98296
BLR-08,M18,2,2026-08-17,real_engine,1,0.6666666666666666,1,0,86431754,12860.5,25721,51442
KAL-01,M18,1,2026-08-17,real_engine,0,10.0,1,0,86457475,6430.25,25721,25721
MAN-02,M19,1,2026-08-17,real_engine,0,10.0,1,0,86486626,7287.75,29151,29151
MAN-01,F20,1,2026-08-17,real_engine,0,10.0,1,0,86551057,16107.75,64431,64431
BLR-04,F17,2,2026-08-17,real_engine,0,2.0,1,0,86769917,54715.0,109430,218860
BLR-03,F18,2,2026-08-17,real_engine,0,2.0,1,0,87004845,58732.0,117464,234928
MYS-01,M15,1,2026-08-17,real_engine,0,10.0,1,0,87031498,6663.25,26653,26653
BLR-08,M16,4,2026-08-17,real_engine,0,1.3333333333333333,1,0,87114218,20680.0,20680,82720
BLR-08,F20,1,2026-08-17,real_engine,0,10.0,1,0,87178649,16107.75,64431,64431
BLR-02,M18,1,2026-08-17,real_engine,0,1.0,1,0,87204370,6430.25,25721,25721
BLR-02,M19,1,2026-08-17,real_engine,0,1.0,1,0,87233521,7287.75,29151,29151
BLR-04,F16,1,2026-08-17,real_engine,0,1.0,1,0,87287737,13554.0,54216,54216
MYS-02,M16,2,2026-08-17,real_engine,0,1.0,1,0,87329097,10340.0,20680,41360
MAN-01,F14,1,2026-08-17,real_engine,0,0.5,1,0,87386979,14470.5,57882,57882
MAN-01,F17,1,2026-08-17,real_engine,0,1.0,1,0,87496409,27357.5,109430,109430
MYS-02,M15,2,2026-08-17,real_engine,0,2.0,1,0,87549715,13326.5,26653,53306
HUB-02,M15,1,2026-08-17,real_engine,0,10.0,1,0,87576368,6663.25,26653,26653
BLR-08,F15,1,2026-08-17,real_engine,0,10.0,1,0,87668379,23002.75,92011,92011
BEL-01,M12,0,2026-08-17,real_engine,1,0.0,0,0,87668379,0.0,17217,0
BLR-05,M18,2,2026-08-17,real_engine,1,0.6666666666666666,1,0,87719821,12860.5,25721,51442
BLR-02,F19,1,2026-08-17,real_engine,0,0.5,1,0,87817920,24524.75,98099,98099
MAN-01,M15,3,2026-08-17,real_engine,0,0.75,1,0,87897879,19989.75,26653,79959
BLR-01,M17,2,2026-08-17,real_engine,0,0.6666666666666666,1,0,87948413,12633.5,25267,50534
MAN-01,M04,0,2026-08-17,real_engine,0,0.0,0,0,87948413,0.0,21389,0
BLR-03,M18,2,2026-08-17,real_engine,0,20.0,1,0,87999855,12860.5,25721,51442
BLR-04,M18,2,2026-08-17,real_engine,0,1.0,1,0,88051297,12860.5,25721,51442
DAV-01,M18,1,2026-08-17,real_engine,0,0.3333333333333333,1,0,88077018,6430.25,25721,25721
HOS-01,M18,1,2026-08-17,real_engine,0,1.0,1,0,88102739,6430.25,25721,25721
KAL-01,M19,1,2026-08-17,real_engine,0,10.0,1,0,88131890,7287.75,29151,29151
BLR-03,M16,4,2026-08-17,real_engine,0,1.3333333333333333,1,0,88214610,20680.0,20680,82720
BLR-08,F16,1,2026-08-17,real_engine,0,10.0,1,0,88268826,13554.0,54216,54216
SHI-01,F16,1,2026-08-17,real_engine,0,10.0,1,0,88323042,13554.0,54216,54216
BLR-02,M12,0,2026-08-17,real_engine,0,0.0,0,0,88323042,0.0,17217,0
HUB-01,M12,0,2026-08-17,real_engine,0,0.0,0,0,88323042,0.0,17217,0
HUB-02,M12,0,2026-08-17,real_engine,1,0.0,0,0,88323042,0.0,17217,0
TUM-01,M12,0,2026-08-17,real_engine,1,0.0,0,0,88323042,0.0,17217,0
BLR-03,M15,3,2026-08-17,real_engine,0,1.5,1,0,88403001,19989.75,26653,79959
BLR-03,F12,1,2026-08-17,real_engine,0,1.0,1,0,88501297,24574.0,98296,98296
BEL-02,F12,1,2026-08-17,real_engine,0,10.0,1,0,88599593,24574.0,98296,98296
BLR-08,M04,0,2026-08-17,real_engine,0,0.0,0,0,88599593,0.0,21389,0
BEL-01,M14,1,2026-08-17,real_engine,0,1.0,1,0,88622319,5681.5,22726,22726
MAN-02,M16,2,2026-08-17,real_engine,0,2.0,1,0,88663679,10340.0,20680,41360
BLR-02,M15,2,2026-08-17,real_engine,0,0.4,1,0,88716985,13326.5,26653,53306
BLR-01,F11,1,2026-08-17,real_engine,0,10.0,1,0,88783720,16683.75,66735,66735
BLR-08,F17,1,2026-08-17,real_engine,0,10.0,1,0,88893150,27357.5,109430,109430
MYS-02,F17,1,2026-08-17,real_engine,0,10.0,1,0,89002580,27357.5,109430,109430
MAN-01,M18,1,2026-08-17,real_engine,0,10.0,1,0,89028301,6430.25,25721,25721
BLR-04,M19,1,2026-08-17,real_engine,0,1.0,1,0,89057452,7287.75,29151,29151
DAV-01,M16,1,2026-08-17,real_engine,0,1.0,1,0,89078132,5170.0,20680,20680
BLR-04,F14,2,2026-08-17,real_engine,0,20.0,1,0,89193896,28941.0,57882,115764
HUB-01,M15,2,2026-08-17,real_engine,0,20.0,1,0,89247202,13326.5,26653,53306
BLR-05,M14,1,2026-08-17,real_engine,0,10.0,1,0,89269928,5681.5,22726,22726
BLR-06,M16,2,2026-08-17,real_engine,0,2.0,1,0,89311288,10340.0,20680,41360
BLR-05,M17,3,2026-08-17,real_engine,0,1.5,1,0,89387089,18950.25,25267,75801
BLR-05,F18,1,2026-08-17,real_engine,0,10.0,1,0,89504553,29366.0,117464,117464
BLR-04,M15,3,2026-08-17,real_engine,0,3.0,1,0,89584512,19989.75,26653,79959
BLR-08,M15,3,2026-08-17,real_engine,0,1.0,1,0,89664471,19989.75,26653,79959
BLR-03,M20,3,2026-08-17,real_engine,0,1.5,1,0,89749083,21153.0,28204,84612
MAN-01,M17,6,2026-08-17,real_engine,0,2.0,1,0,89900685,37900.5,25267,151602
KAL-01,M17,3,2026-08-17,real_engine,0,1.5,1,0,89976486,18950.25,25267,75801
BLR-08,M20,2,2026-08-17,real_engine,1,0.5,1,0,90032894,14102.0,28204,56408
BLR-05,M16,2,2026-08-17,real_engine,0,0.6666666666666666,1,0,90074254,10340.0,20680,41360
TUM-01,M16,2,2026-08-17,real_engine,0,20.0,1,0,90115614,10340.0,20680,41360
MAN-01,M03,0,2026-08-17,real_engine,0,0.0,0,0,90115614,0.0,24373,0
HUB-01,F17,1,2026-08-17,real_engine,0,10.0,1,0,90225044,27357.5,109430,109430
BLR-04,M17,2,2026-08-17,real_engine,0,0.6666666666666666,1,0,90275578,12633.5,25267,50534
BLR-04,M20,3,2026-08-17,real_engine,0,30.0,1,0,90360190,21153.0,28204,84612
HUB-01,F18,1,2026-08-17,real_engine,0,1.0,1,0,90477654,29366.0,117464,117464
BLR-02,M14,2,2026-08-17,real_engine,0,1.0,1,0,90523106,11363.0,22726,45452
DAV-01,M14,1,2026-08-17,real_engine,0,1.0,1,0,90545832,5681.5,22726,22726
BEL-02,M14,1,2026-08-17,real_engine,0,10.0,1,0,90568558,5681.5,22726,22726
BLR-06,M15,3,2026-08-17,real_engine,0,3.0,1,0,90648517,19989.75,26653,79959
MAN-01,M12,0,2026-08-17,real_engine,1,0.0,0,0,90648517,0.0,17217,0
HUB-01,F19,1,2026-08-17,real_engine,0,10.0,1,0,90746616,24524.75,98099,98099
BLR-04,M16,4,2026-08-17,real_engine,0,1.3333333333333333,1,0,90829336,20680.0,20680,82720
BLR-01,M16,2,2026-08-17,real_engine,0,2.0,1,0,90870696,10340.0,20680,41360
KOL-01,M20,1,2026-08-17,real_engine,1,0.5,1,0,90898900,7051.0,28204,28204
BLR-01,M15,2,2026-08-17,real_engine,0,1.0,1,0,90952206,13326.5,26653,53306
BLR-08,M14,2,2026-08-17,real_engine,0,0.6666666666666666,1,0,90997658,11363.0,22726,45452
BEL-01,F19,1,2026-08-17,real_engine,0,10.0,1,0,91095757,24524.75,98099,98099
BLR-06,F18,1,2026-08-17,real_engine,0,10.0,1,0,91213221,29366.0,117464,117464
BLR-02,F20,2,2026-08-17,real_engine,0,20.0,1,0,91342083,32215.5,64431,128862
BLR-08,M02,0,2026-08-17,real_engine,0,0.0,0,0,91342083,0.0,16548,0
KOL-01,M12,0,2026-08-17,real_engine,0,0.0,0,0,91342083,0.0,17217,0
BLR-06,F19,1,2026-08-17,real_engine,0,10.0,1,0,91440182,24524.75,98099,98099
MYS-01,F17,1,2026-08-17,real_engine,0,10.0,1,0,91549612,27357.5,109430,109430
BLR-01,M20,3,2026-08-17,real_engine,0,30.0,1,0,91634224,21153.0,28204,84612
MYS-02,M14,1,2026-08-17,real_engine,0,1.0,1,0,91656950,5681.5,22726,22726
HOS-01,M14,1,2026-08-17,real_engine,0,1.0,1,0,91679676,5681.5,22726,22726
UDU-01,M13,0,2026-08-17,real_engine,0,0.0,0,0,91679676,0.0,25696,0
SHI-01,M15,2,2026-08-17,real_engine,0,2.0,1,0,91732982,13326.5,26653,53306
BLR-01,F17,1,2026-08-17,real_engine,0,1.0,1,0,91842412,27357.5,109430,109430
BLR-07,M17,2,2026-08-17,real_engine,0,20.0,1,0,91892946,12633.5,25267,50534
MYS-01,M17,2,2026-08-17,real_engine,0,1.0,1,0,91943480,12633.5,25267,50534
DAV-02,M17,2,2026-08-17,real_engine,0,2.0,1,0,91994014,12633.5,25267,50534
MAN-02,M18,3,2026-08-17,real_engine,0,30.0,1,0,92071177,19290.75,25721,77163
MYS-01,F19,1,2026-08-17,real_engine,0,10.0,1,0,92169276,24524.75,98099,98099
BLR-05,M15,3,2026-08-17,real_engine,0,30.0,1,0,92249235,19989.75,26653,79959
KOL-01,M14,2,2026-08-17,real_engine,0,20.0,1,0,92294687,11363.0,22726,45452
DAV-01,F17,1,2026-08-17,real_engine,0,10.0,1,0,92404117,27357.5,109430,109430
BEL-01,M15,2,2026-08-17,real_engine,0,0.6666666666666666,1,0,92457423,13326.5,26653,53306
UDU-01,M15,1,2026-08-17,real_engine,0,0.5,1,0,92484076,6663.25,26653,26653
KOL-01,M15,1,2026-08-17,real_engine,0,0.5,1,0,92510729,6663.25,26653,26653
DAV-01,F18,1,2026-08-17,real_engine,0,10.0,1,0,92628193,29366.0,117464,117464
TUM-01,M18,2,2026-08-17,real_engine,0,20.0,1,0,92679635,12860.5,25721,51442
BLR-06,M18,1,2026-08-17,real_engine,0,0.5,1,0,92705356,6430.25,25721,25721
BLR-03,M17,2,2026-08-17,real_engine,0,0.6666666666666666,1,0,92755890,12633.5,25267,50534
BLR-05,M12,0,2026-08-17,real_engine,1,0.0,0,0,92755890,0.0,17217,0
BLR-06,M12,0,2026-08-17,real_engine,1,0.0,0,0,92755890,0.0,17217,0
DAV-01,F19,1,2026-08-17,real_engine,0,10.0,1,0,92853989,24524.75,98099,98099
BLR-02,M16,3,2026-08-17,real_engine,0,1.5,1,0,92916029,15510.0,20680,62040
BLR-07,M16,3,2026-08-17,real_engine,0,30.0,1,0,92978069,15510.0,20680,62040
UDU-01,M16,2,2026-08-17,real_engine,0,20.0,1,0,93019429,10340.0,20680,41360
DAV-02,M16,1,2026-08-17,real_engine,0,0.5,1,0,93040109,5170.0,20680,20680
BLR-02,F03,0,2026-08-17,real_engine,1,0.0,0,0,93040109,0.0,55530,0
MYS-01,M14,1,2026-08-17,real_engine,0,10.0,1,0,93062835,5681.5,22726,22726
TUM-02,M14,1,2026-08-17,real_engine,0,1.0,1,0,93085561,5681.5,22726,22726
HUB-01,M14,3,2026-08-17,real_engine,0,3.0,1,0,93153739,17044.5,22726,68178
BLR-07,F17,1,2026-08-17,real_engine,0,10.0,1,0,93263169,27357.5,109430,109430
HUB-01,M18,2,2026-08-17,real_engine,0,20.0,1,0,93314611,12860.5,25721,51442
BLR-08,M17,3,2026-08-17,real_engine,0,0.75,1,0,93390412,18950.25,25267,75801
BLR-05,F20,1,2026-08-17,real_engine,0,10.0,1,0,93454843,16107.75,64431,64431
BEL-01,M16,3,2026-08-17,real_engine,0,3.0,1,0,93516883,15510.0,20680,62040
TUM-02,M17,2,2026-08-17,real_engine,0,1.0,1,0,93567417,12633.5,25267,50534
BLR-01,M13,0,2026-08-17,real_engine,0,0.0,0,0,93567417,0.0,25696,0
BEL-01,M13,0,2026-08-17,real_engine,0,0.0,0,0,93567417,0.0,25696,0
KOL-01,M13,0,2026-08-17,real_engine,1,0.0,0,0,93567417,0.0,25696,0
BLR-02,F14,2,2026-08-17,real_engine,0,1.0,1,0,93683181,28941.0,57882,115764
BLR-02,M04,0,2026-08-17,real_engine,0,0.0,0,0,93683181,0.0,21389,0
UDU-01,F19,1,2026-08-17,real_engine,0,10.0,1,0,93781280,24524.75,98099,98099
MAN-02,F18,1,2026-08-17,real_engine,0,10.0,1,0,93898744,29366.0,117464,117464
BLR-02,M17,3,2026-08-17,real_engine,0,3.0,1,0,93974545,18950.25,25267,75801
HUB-02,F17,1,2026-08-17,real_engine,0,10.0,1,0,94083975,27357.5,109430,109430
MAN-01,M16,3,2026-08-17,real_engine,0,0.75,1,0,94146015,15510.0,20680,62040
BLR-06,M19,2,2026-08-17,real_engine,0,0.6666666666666666,1,0,94204317,14575.5,29151,58302
HUB-01,F20,1,2026-08-17,real_engine,0,10.0,1,0,94268748,16107.75,64431,64431
BLR-03,M12,0,2026-08-17,real_engine,1,0.0,0,0,94268748,0.0,17217,0
TUM-02,M12,0,2026-08-17,real_engine,1,0.0,0,0,94268748,0.0,17217,0
DAV-02,M12,0,2026-08-17,real_engine,0,0.0,0,0,94268748,0.0,17217,0
MAN-02,M12,0,2026-08-17,real_engine,0,0.0,0,0,94268748,0.0,17217,0
HUB-02,F19,1,2026-08-17,real_engine,0,10.0,1,0,94366847,24524.75,98099,98099
MAN-01,M19,3,2026-08-17,real_engine,1,0.375,1,0,94454300,21863.25,29151,87453
SHI-01,F18,1,2026-08-17,real_engine,0,10.0,1,0,94571764,29366.0,117464,117464
MAN-02,M17,3,2026-08-17,real_engine,0,3.0,1,0,94647565,18950.25,25267,75801
HUB-02,M17,2,2026-08-17,real_engine,0,2.0,1,0,94698099,12633.5,25267,50534
UDU-01,M14,1,2026-08-17,real_engine,0,1.0,1,0,94720825,5681.5,22726,22726
BLR-01,F10,0,2026-08-17,real_engine,0,0.0,0,0,94720825,0.0,66400,0
MYS-01,M16,3,2026-08-17,real_engine,0,1.0,1,0,94782865,15510.0,20680,62040
MYS-01,M19,2,2026-08-17,real_engine,0,1.0,1,0,94841167,14575.5,29151,58302
BEL-01,F20,1,2026-08-17,real_engine,0,10.0,1,0,94905598,16107.75,64431,64431
SHI-01,F19,1,2026-08-17,real_engine,0,10.0,1,0,95003697,24524.75,98099,98099
UDU-01,M18,2,2026-08-17,real_engine,1,0.5,1,0,95055139,12860.5,25721,51442
HUB-02,M18,1,2026-08-17,real_engine,0,1.0,1,0,95080860,6430.25,25721,25721
BEL-02,M18,1,2026-08-17,real_engine,0,1.0,1,0,95106581,6430.25,25721,25721
BLR-03,M19,1,2026-08-17,real_engine,0,1.0,1,0,95135732,7287.75,29151,29151
BLR-06,F20,1,2026-08-17,real_engine,0,10.0,1,0,95200163,16107.75,64431,64431
KAL-01,M15,2,2026-08-17,real_engine,0,2.0,1,0,95253469,13326.5,26653,53306
BLR-03,M10,0,2026-08-17,real_engine,1,0.0,0,0,95253469,0.0,25610,0
BLR-04,F03,0,2026-08-17,real_engine,0,0.0,0,0,95253469,0.0,55530,0
MAN-01,M01,0,2026-08-17,real_engine,1,0.0,0,0,95253469,0.0,20460,0
BLR-05,M09,0,2026-08-17,real_engine,0,0.0,0,0,95253469,0.0,28135,0
BEL-02,F17,1,2026-08-17,real_engine,0,10.0,1,0,95362899,27357.5,109430,109430
HOS-01,M16,2,2026-08-17,real_engine,0,2.0,1,0,95404259,10340.0,20680,41360
BEL-01,M17,2,2026-08-17,real_engine,0,20.0,1,0,95454793,12633.5,25267,50534
BEL-02,F18,1,2026-08-17,real_engine,0,10.0,1,0,95572257,29366.0,117464,117464
BLR-03,M04,0,2026-08-17,real_engine,0,0.0,0,0,95572257,0.0,21389,0
MYS-01,F20,1,2026-08-17,real_engine,0,10.0,1,0,95636688,16107.75,64431,64431
BEL-02,F19,1,2026-08-17,real_engine,0,10.0,1,0,95734787,24524.75,98099,98099
TUM-02,M15,1,2026-08-17,real_engine,0,1.0,1,0,95761440,6663.25,26653,26653
HOS-01,M15,1,2026-08-17,real_engine,0,10.0,1,0,95788093,6663.25,26653,26653
BLR-04,M04,0,2026-08-17,real_engine,0,0.0,0,0,95788093,0.0,21389,0
SHI-01,M12,0,2026-08-17,real_engine,0,0.0,0,0,95788093,0.0,17217,0
MYS-02,F18,1,2026-08-17,real_engine,0,10.0,1,0,95905557,29366.0,117464,117464
BLR-08,M01,0,2026-08-17,real_engine,0,0.0,0,0,95905557,0.0,20460,0
BLR-02,M20,4,2026-08-17,real_engine,0,1.3333333333333333,1,0,96018373,28204.0,28204,112816
KAL-01,M16,2,2026-08-17,real_engine,0,20.0,1,0,96059733,10340.0,20680,41360
HUB-01,M10,0,2026-08-17,real_engine,0,0.0,0,0,96059733,0.0,25610,0
DAV-02,M13,0,2026-08-17,real_engine,0,0.0,0,0,96059733,0.0,25696,0
MYS-02,F19,1,2026-08-17,real_engine,0,10.0,1,0,96157832,24524.75,98099,98099
SHI-01,M17,1,2026-08-17,real_engine,0,1.0,1,0,96183099,6316.75,25267,25267
DAV-01,F20,1,2026-08-17,real_engine,0,1.0,1,0,96247530,16107.75,64431,64431
BLR-01,F03,0,2026-08-17,real_engine,0,0.0,0,0,96247530,0.0,55530,0
KAL-01,F18,1,2026-08-17,real_engine,0,10.0,1,0,96364994,29366.0,117464,117464
MAN-01,F13,1,2026-08-17,real_engine,0,10.0,1,0,96425393,15099.75,60399,60399
MAN-01,M05,0,2026-08-17,real_engine,0,0.0,0,0,96425393,0.0,26834,0
KAL-01,F19,1,2026-08-17,real_engine,0,10.0,1,0,96523492,24524.75,98099,98099
BLR-04,M14,2,2026-08-17,real_engine,0,2.0,1,0,96568944,11363.0,22726,45452
TUM-01,M14,2,2026-08-17,real_engine,0,1.0,1,0,96614396,11363.0,22726,45452
MAN-01,M14,2,2026-08-17,real_engine,0,1.0,1,0,96659848,11363.0,22726,45452
BLR-01,M10,0,2026-08-17,real_engine,0,0.0,0,0,96659848,0.0,25610,0
BLR-02,F04,0,2026-08-17,real_engine,0,0.0,0,0,96659848,0.0,53816,0
BLR-07,F20,1,2026-08-17,real_engine,0,10.0,1,0,96724279,16107.75,64431,64431
BLR-06,M17,3,2026-08-17,real_engine,0,30.0,1,0,96800080,18950.25,25267,75801
BLR-02,F06,0,2026-08-17,real_engine,0,0.0,0,0,96800080,0.0,53059,0
DAV-02,F18,1,2026-08-17,real_engine,0,1.0,1,0,96917544,29366.0,117464,117464
BLR-01,M04,0,2026-08-17,real_engine,1,0.0,0,0,96917544,0.0,21389,0
TUM-02,M18,2,2026-08-17,real_engine,0,1.0,1,0,96968986,12860.5,25721,51442
BLR-01,M18,1,2026-08-17,real_engine,0,1.0,1,0,96994707,6430.25,25721,25721
BLR-08,M19,2,2026-08-17,real_engine,0,2.0,1,0,97053009,14575.5,29151,58302
BLR-01,M19,1,2026-08-17,real_engine,0,10.0,1,0,97082160,7287.75,29151,29151
BLR-05,M19,1,2026-08-17,real_engine,0,1.0,1,0,97111311,7287.75,29151,29151
HUB-01,M19,1,2026-08-17,real_engine,0,10.0,1,0,97140462,7287.75,29151,29151
TUM-02,M19,1,2026-08-17,real_engine,0,1.0,1,0,97169613,7287.75,29151,29151
DAV-02,M19,1,2026-08-17,real_engine,0,10.0,1,0,97198764,7287.75,29151,29151
BEL-01,M19,1,2026-08-17,real_engine,0,1.0,1,0,97227915,7287.75,29151,29151
SHI-01,M19,1,2026-08-17,real_engine,0,0.5,1,0,97257066,7287.75,29151,29151
UDU-01,F20,1,2026-08-17,real_engine,0,10.0,1,0,97321497,16107.75,64431,64431
BLR-02,F01,0,2026-08-17,real_engine,0,0.0,0,0,97321497,0.0,61349,0
UDU-01,M17,2,2026-08-17,real_engine,0,1.0,1,0,97372031,12633.5,25267,50534
KOL-01,M17,2,2026-08-17,real_engine,0,20.0,1,0,97422565,12633.5,25267,50534
DAV-02,F19,1,2026-08-17,real_engine,0,10.0,1,0,97520664,24524.75,98099,98099
BLR-02,M02,0,2026-08-17,real_engine,0,0.0,0,0,97520664,0.0,16548,0
BLR-03,F11,1,2026-08-17,real_engine,0,10.0,1,0,97587399,16683.75,66735,66735
DAV-02,M14,1,2026-08-17,real_engine,0,1.0,1,0,97610125,5681.5,22726,22726
KAL-01,M14,1,2026-08-17,real_engine,0,10.0,1,0,97632851,5681.5,22726,22726
BLR-02,M11,0,2026-08-17,real_engine,1,0.0,0,0,97632851,0.0,20687,0
TUM-01,M15,2,2026-08-17,real_engine,0,20.0,1,0,97686157,13326.5,26653,53306
MAN-02,F20,1,2026-08-17,real_engine,0,10.0,1,0,97750588,16107.75,64431,64431
BLR-08,M13,0,2026-08-17,real_engine,0,0.0,0,0,97750588,0.0,25696,0
HUB-02,M13,0,2026-08-17,real_engine,0,0.0,0,0,97750588,0.0,25696,0
MAN-01,F12,1,2026-08-17,real_engine,0,10.0,1,0,97848884,24574.0,98296,98296
MYS-01,M12,0,2026-08-17,real_engine,0,0.0,0,0,97848884,0.0,17217,0
HUB-02,F20,1,2026-08-17,real_engine,0,10.0,1,0,97913315,16107.75,64431,64431
BEL-02,M16,2,2026-08-17,real_engine,0,0.6666666666666666,1,0,97954675,10340.0,20680,41360
HOS-01,F17,1,2026-08-17,real_engine,0,10.0,1,0,98064105,27357.5,109430,109430
MYS-01,M04,0,2026-08-17,real_engine,0,0.0,0,0,98064105,0.0,21389,0
SHI-01,F20,1,2026-08-17,real_engine,0,10.0,1,0,98128536,16107.75,64431,64431
BLR-05,M20,2,2026-08-17,real_engine,0,20.0,1,0,98184944,14102.0,28204,56408
HOS-01,F19,1,2026-08-17,real_engine,0,10.0,1,0,98283043,24524.75,98099,98099
BLR-05,F12,1,2026-08-17,real_engine,0,10.0,1,0,98381339,24574.0,98296,98296
BLR-03,F04,0,2026-08-17,real_engine,0,0.0,0,0,98381339,0.0,53816,0
SHI-01,M18,2,2026-08-17,real_engine,0,20.0,1,0,98432781,12860.5,25721,51442
TUM-01,F20,1,2026-08-17,real_engine,0,10.0,1,0,98497212,16107.75,64431,64431
BLR-08,M12,0,2026-08-17,real_engine,0,0.0,0,0,98497212,0.0,17217,0
TUM-02,F17,1,2026-08-17,real_engine,0,10.0,1,0,98606642,27357.5,109430,109430
TUM-02,F18,1,2026-08-17,real_engine,0,1.0,1,0,98724106,29366.0,117464,117464
BLR-03,M03,0,2026-08-17,real_engine,0,0.0,0,0,98724106,0.0,24373,0
BLR-04,F04,0,2026-08-17,real_engine,0,0.0,0,0,98724106,0.0,53816,0
DAV-01,M04,0,2026-08-17,real_engine,0,0.0,0,0,98724106,0.0,21389,0
HUB-01,M20,2,2026-08-17,real_engine,0,1.0,1,0,98780514,14102.0,28204,56408
MAN-02,M13,0,2026-08-17,real_engine,0,0.0,0,0,98780514,0.0,25696,0
BLR-06,M13,0,2026-08-17,real_engine,0,0.0,0,0,98780514,0.0,25696,0
BEL-02,M13,0,2026-08-17,real_engine,0,0.0,0,0,98780514,0.0,25696,0
BEL-02,F20,1,2026-08-17,real_engine,0,10.0,1,0,98844945,16107.75,64431,64431
TUM-02,F19,1,2026-08-17,real_engine,0,10.0,1,0,98943044,24524.75,98099,98099
BLR-08,F14,1,2026-08-17,real_engine,0,10.0,1,0,99000926,14470.5,57882,57882
SHI-01,F14,1,2026-08-17,real_engine,0,1.0,1,0,99058808,14470.5,57882,57882
HUB-01,F12,1,2026-08-17,real_engine,0,10.0,1,0,99157104,24574.0,98296,98296
BLR-01,F13,1,2026-08-17,real_engine,0,10.0,1,0,99217503,15099.75,60399,60399
BLR-02,F13,1,2026-08-17,real_engine,0,10.0,1,0,99277902,15099.75,60399,60399
BLR-02,F10,0,2026-08-17,real_engine,0,0.0,0,0,99277902,0.0,66400,0
BLR-01,F05,0,2026-08-17,real_engine,0,0.0,0,0,99277902,0.0,89165,0
BLR-02,F02,0,2026-08-17,real_engine,0,0.0,0,0,99277902,0.0,66229,0
BLR-04,F01,0,2026-08-17,real_engine,0,0.0,0,0,99277902,0.0,61349,0
BLR-05,M02,0,2026-08-17,real_engine,0,0.0,0,0,99277902,0.0,16548,0
BLR-04,M02,0,2026-08-17,real_engine,0,0.0,0,0,99277902,0.0,16548,0
MYS-02,M17,2,2026-08-17,real_engine,0,20.0,1,0,99328436,12633.5,25267,50534
MYS-01,M11,0,2026-08-17,real_engine,0,0.0,0,0,99328436,0.0,20687,0
BLR-07,M04,0,2026-08-17,real_engine,0,0.0,0,0,99328436,0.0,21389,0
