store_id,store_name,model_id,model_name,requested_units,allocated_units,shortfall_units,rupee_shortfall,reason
MYS-01,MobiMart Devaraja Mohalla,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
BLR-02,MobiMart Koramangala,B06,Lava Blaze Core,3,0,3,24165,budget exhausted before full demand could be covered
TUM-02,MobiMart SS Puram,F10,iPhone 17,1,0,1,66400,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
BLR-03,MobiMart Indiranagar,M09,Samsung Galaxy A36,1,0,1,28135,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,M09,Samsung Galaxy A36,1,0,1,28135,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,B04,Realme Note 60,2,0,2,17572,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,B13,Redmi A6,3,0,3,25512,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,B13,Redmi A6,3,0,3,25512,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,B11,Nokia 125 Power,2,0,2,15010,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
BLR-02,MobiMart Koramangala,M08,Nothing Phone (3a),1,0,1,24519,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,F15,Pixel 10 Pro,1,0,1,92011,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,B12,Samsung Galaxy M06,1,0,1,9430,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,F11,Samsung Galaxy S26,1,0,1,66735,budget exhausted before full demand could be covered
TUM-02,MobiMart SS Puram,B08,Samsung Galaxy F06,1,0,1,9684,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,B13,Redmi A6,2,0,2,17008,budget exhausted before full demand could be covered
BLR-01,MobiMart Jayanagar,F08,Samsung Galaxy Z Flip7,1,0,1,78119,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
BLR-01,MobiMart Jayanagar,B17,POCO C85,2,0,2,23700,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
BLR-04,MobiMart Whitefield,F10,iPhone 17,1,0,1,66400,budget exhausted before full demand could be covered
BLR-01,MobiMart Jayanagar,B14,Realme Note 70,2,0,2,19852,budget exhausted before full demand could be covered
MAN-01,MobiMart Court Road,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,B09,Realme C75x,1,0,1,12085,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,B19,Realme C76x,2,0,2,26354,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
BLR-02,MobiMart Koramangala,B20,Nokia 3310 Max,2,0,2,16984,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,B20,Nokia 3310 Max,2,0,2,16984,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,B20,Nokia 3310 Max,2,0,2,16984,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,B20,Nokia 3310 Max,1,0,1,8492,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,B07,POCO C75,1,0,1,11285,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
KOL-01,MobiMart Station Road,B14,Realme Note 70,3,0,3,29778,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,B12,Samsung Galaxy M06,2,0,2,18860,budget exhausted before full demand could be covered
BLR-01,MobiMart Jayanagar,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
TUM-02,MobiMart SS Puram,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
BLR-04,MobiMart Whitefield,B06,Lava Blaze Core,3,0,3,24165,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,F11,Samsung Galaxy S26,1,0,1,66735,budget exhausted before full demand could be covered
BLR-05,MobiMart Malleshwaram,M11,Samsung Galaxy A27,1,0,1,20687,budget exhausted before full demand could be covered
KOL-01,MobiMart Station Road,F08,Samsung Galaxy Z Flip7,1,0,1,78119,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
MAN-01,MobiMart Court Road,F11,Samsung Galaxy S26,1,0,1,66735,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,F11,Samsung Galaxy S26,1,0,1,66735,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
KOL-01,MobiMart Station Road,B13,Redmi A6,2,0,2,17008,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,B07,POCO C75,1,0,1,11285,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,B20,Nokia 3310 Max,2,0,2,16984,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
BLR-02,MobiMart Koramangala,B14,Realme Note 70,1,0,1,9926,budget exhausted before full demand could be covered
KOL-01,MobiMart Station Road,B12,Samsung Galaxy M06,1,0,1,9430,budget exhausted before full demand could be covered
BLR-08,MobiMart Electronic City,M06,Motorola Edge 60 Fusion,1,0,1,20129,budget exhausted before full demand could be covered
KOL-01,MobiMart Station Road,M06,Motorola Edge 60 Fusion,1,0,1,20129,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,M08,Nothing Phone (3a),1,0,1,24519,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,M09,Samsung Galaxy A36,1,0,1,28135,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,M09,Samsung Galaxy A36,1,0,1,28135,budget exhausted before full demand could be covered
MAN-01,MobiMart Court Road,M07,POCO X7 Pro,1,0,1,23908,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
BLR-05,MobiMart Malleshwaram,B05,Moto G15 Play,1,0,1,10127,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,B04,Realme Note 60,1,0,1,8786,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,M10,OnePlus Nord 5,1,0,1,25610,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,B13,Redmi A6,2,0,2,17008,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,M18,Nothing Phone (4a),1,0,1,25721,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,M18,Nothing Phone (4a),1,0,1,25721,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
UDU-01,MobiMart Udupi Main Road,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
BLR-08,MobiMart Electronic City,B14,Realme Note 70,2,0,2,19852,budget exhausted before full demand could be covered
TUM-02,MobiMart SS Puram,B14,Realme Note 70,2,0,2,19852,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,F11,Samsung Galaxy S26,1,0,1,66735,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,B08,Samsung Galaxy F06,1,0,1,9684,budget exhausted before full demand could be covered
KAL-01,MobiMart KCD Road,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
BLR-07,MobiMart Yelahanka,B11,Nokia 125 Power,1,0,1,7505,budget exhausted before full demand could be covered
BLR-04,MobiMart Whitefield,B20,Nokia 3310 Max,1,0,1,8492,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,B20,Nokia 3310 Max,1,0,1,8492,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
DAV-01,MobiMart PJ Extension,B12,Samsung Galaxy M06,1,0,1,9430,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
BLR-03,MobiMart Indiranagar,B19,Realme C76x,2,0,2,26354,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
BLR-06,MobiMart Rajajinagar,B10,Nokia 3210 4G,1,0,1,7060,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
KOL-01,MobiMart Station Road,F03,OnePlus 13,1,0,1,55530,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,F11,Samsung Galaxy S26,1,0,1,66735,budget exhausted before full demand could be covered
BLR-04,MobiMart Whitefield,B13,Redmi A6,1,0,1,8504,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,F09,OnePlus Open 2,1,0,1,97367,budget exhausted before full demand could be covered
DAV-02,MobiMart MCC B Block,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
MAN-02,MobiMart Kottara,B14,Realme Note 70,2,0,2,19852,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F11,Samsung Galaxy S26,1,0,1,66735,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
SHI-01,MobiMart Vidya Nagar,F11,Samsung Galaxy S26,1,0,1,66735,budget exhausted before full demand could be covered
TUM-02,MobiMart SS Puram,F05,Pixel 9 Pro,1,0,1,89165,budget exhausted before full demand could be covered
TUM-02,MobiMart SS Puram,B11,Nokia 125 Power,1,0,1,7505,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,F04,Vivo X200,1,0,1,53816,budget exhausted before full demand could be covered
TUM-02,MobiMart SS Puram,B20,Nokia 3310 Max,2,0,2,16984,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,F06,Xiaomi 15,1,0,1,53059,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,F11,Samsung Galaxy S26,1,0,1,66735,budget exhausted before full demand could be covered
BLR-02,MobiMart Koramangala,B19,Realme C76x,1,0,1,13177,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,B10,Nokia 3210 4G,1,0,1,7060,budget exhausted before full demand could be covered
TUM-01,MobiMart MG Road,B10,Nokia 3210 4G,1,0,1,7060,budget exhausted before full demand could be covered
MYS-01,MobiMart Devaraja Mohalla,F14,Vivo X210,1,0,1,57882,budget exhausted before full demand could be covered
HUB-01,MobiMart Vidya Nagar,F14,Vivo X210,1,0,1,57882,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,F07,iPhone 16 Pro,1,0,1,99781,budget exhausted before full demand could be covered
BEL-02,MobiMart Tilakwadi,M07,POCO X7 Pro,1,0,1,23908,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,M07,POCO X7 Pro,1,0,1,23908,budget exhausted before full demand could be covered
MYS-02,MobiMart Kuvempunagar,F02,iPhone 16,1,0,1,66229,budget exhausted before full demand could be covered
HOS-01,MobiMart Hosur Road,F01,Samsung Galaxy S25,1,0,1,61349,budget exhausted before full demand could be covered
BLR-03,MobiMart Indiranagar,F13,OnePlus 14,1,0,1,60399,budget exhausted before full demand could be covered
BLR-08,MobiMart Electronic City,F13,OnePlus 14,1,0,1,60399,budget exhausted before full demand could be covered
HUB-02,MobiMart Gokul Road,F13,OnePlus 14,1,0,1,60399,budget exhausted before full demand could be covered
BEL-01,MobiMart Cantonment,F13,OnePlus 14,1,0,1,60399,budget exhausted before full demand could be covered
