store_id,store_name,model_id,model_name,price_tier,selling_price,margin_pct,acquisition_cost,lifecycle_stage,expected_demand,requested_units,available_units,expected_revenue,priority_score,allocated_units,capital_tied_up,allocated_expected_revenue,cap_applied,reasoning
BLR-01,MobiMart Jayanagar,F12,iPhone 17 Pro,flagship,124900,0.213,98296,declining,0.6476190476190475,1,1000,17229.062857142853,0.17527735469543881,1,98296,26603.7,False,"MobiMart Jayanagar: 1 units of iPhone 17 Pro - expected demand 0.6/week, capital tied up Rs 98,296, expected gross profit Rs 26,604, ROI 0.27x"
BLR-02,MobiMart Koramangala,F15,Pixel 10 Pro,flagship,114999,0.1999,92011,declining,1.3761904761904762,2,1000,31636.27966142857,0.1719157473640574,2,184022,45976.6002,False,"MobiMart Koramangala: 2 units of Pixel 10 Pro - expected demand 1.4/week, capital tied up Rs 184,022, expected gross profit Rs 45,977, ROI 0.25x"
BLR-01,MobiMart Jayanagar,F16,Xiaomi 16,flagship,67999,0.2027,54216,declining,1.3357142857142856,2,1000,18410.680679285713,0.16979010512842807,2,108432,27566.794599999997,False,"MobiMart Jayanagar: 2 units of Xiaomi 16 - expected demand 1.3/week, capital tied up Rs 108,432, expected gross profit Rs 27,567, ROI 0.25x"
BLR-01,MobiMart Jayanagar,F14,Vivo X210,flagship,69999,0.1731,57882,declining,0.8095238095238094,1,1000,9808.85987142857,0.16946304328510714,1,57882,12116.8269,False,"MobiMart Jayanagar: 1 units of Vivo X210 - expected demand 0.8/week, capital tied up Rs 57,882, expected gross profit Rs 12,117, ROI 0.21x"
BLR-04,MobiMart Whitefield,F13,OnePlus 14,flagship,72999,0.1726,60399,declining,0.8095238095238094,1,1000,10199.69837142857,0.16887197422852315,1,60399,12599.6274,False,"MobiMart Whitefield: 1 units of OnePlus 14 - expected demand 0.8/week, capital tied up Rs 60,399, expected gross profit Rs 12,600, ROI 0.21x"
BLR-08,MobiMart Electronic City,F18,Samsung Galaxy Z Fold8,flagship,149999,0.2169,117464,ramping,1.2047619047619047,2,1000,39196.667258571426,0.16684544736502854,2,234928,65069.5662,False,"MobiMart Electronic City: 2 units of Samsung Galaxy Z Fold8 - expected demand 1.2/week, capital tied up Rs 234,928, expected gross profit Rs 65,070, ROI 0.28x"
BLR-05,MobiMart Malleshwaram,F19,OnePlus Open 3,flagship,124999,0.2152,98099,ramping,0.6023809523809524,1,1000,16203.917986666665,0.16517923716517666,1,98099,26899.7848,False,"MobiMart Malleshwaram: 1 units of OnePlus Open 3 - expected demand 0.6/week, capital tied up Rs 98,099, expected gross profit Rs 26,900, ROI 0.27x"
BLR-02,MobiMart Koramangala,F12,iPhone 17 Pro,flagship,124900,0.213,98296,declining,0.6071428571428571,1,1000,16152.246428571429,0.16432252002697392,1,98296,26603.7,False,"MobiMart Koramangala: 1 units of iPhone 17 Pro - expected demand 0.6/week, capital tied up Rs 98,296, expected gross profit Rs 26,604, ROI 0.27x"
BLR-08,MobiMart Electronic City,M18,Nothing Phone (4a),mid,29999,0.1426,25721,ramping,1.971428571428571,2,1000,8433.49030285714,0.16394172666026088,2,51442,8555.7148,False,"MobiMart Electronic City: 2 units of Nothing Phone (4a) - expected demand 2.0/week, capital tied up Rs 51,442, expected gross profit Rs 8,556, ROI 0.17x"
KAL-01,MobiMart KCD Road,M18,Nothing Phone (4a),mid,29999,0.1426,25721,ramping,0.9857142857142855,1,1000,4216.74515142857,0.16394172666026088,1,25721,4277.8574,False,"MobiMart KCD Road: 1 units of Nothing Phone (4a) - expected demand 1.0/week, capital tied up Rs 25,721, expected gross profit Rs 4,278, ROI 0.17x"
MAN-02,MobiMart Kottara,M19,Samsung Galaxy A37,mid,33999,0.1426,29151,ramping,0.9857142857142855,1,1000,4778.996579999999,0.1639393701759802,1,29151,4848.2574,False,"MobiMart Kottara: 1 units of Samsung Galaxy A37 - expected demand 1.0/week, capital tied up Rs 29,151, expected gross profit Rs 4,848, ROI 0.17x"
MAN-01,MobiMart Court Road,F20,Vivo X210 Pro,flagship,79999,0.1946,64431,ramping,0.6669999999999999,1,1000,10383.726201799998,0.16116040728531295,1,64431,15567.8054,False,"MobiMart Court Road: 1 units of Vivo X210 Pro - expected demand 0.7/week, capital tied up Rs 64,431, expected gross profit Rs 15,568, ROI 0.24x"
BLR-04,MobiMart Whitefield,F17,iPhone 17 Pro Max,flagship,139900,0.2178,109430,ramping,1.15,2,1000,35040.753,0.16010578908891526,2,218860,60940.439999999995,False,"MobiMart Whitefield: 2 units of iPhone 17 Pro Max - expected demand 1.1/week, capital tied up Rs 218,860, expected gross profit Rs 60,940, ROI 0.28x"
BLR-03,MobiMart Indiranagar,F18,Samsung Galaxy Z Fold8,flagship,149999,0.2169,117464,ramping,1.15,2,1000,37415.000564999995,0.15926156339389086,2,234928,65069.5662,False,"MobiMart Indiranagar: 2 units of Samsung Galaxy Z Fold8 - expected demand 1.1/week, capital tied up Rs 234,928, expected gross profit Rs 65,070, ROI 0.28x"
MYS-01,MobiMart Devaraja Mohalla,M15,Vivo V51e,mid,30999,0.1402,26653,declining,0.9714285714285713,1,1000,4221.886662857142,0.15840193084670176,1,26653,4346.0598,False,"MobiMart Devaraja Mohalla: 1 units of Vivo V51e - expected demand 1.0/week, capital tied up Rs 26,653, expected gross profit Rs 4,346, ROI 0.16x"
BLR-08,MobiMart Electronic City,M16,Motorola Edge 70 Fusion,mid,23999,0.1383,20680,declining,3.9261904761904756,4,1000,13031.26843642857,0.15753467645585797,4,82720,13276.2468,False,"MobiMart Electronic City: 4 units of Motorola Edge 70 Fusion - expected demand 3.9/week, capital tied up Rs 82,720, expected gross profit Rs 13,276, ROI 0.16x"
BLR-08,MobiMart Electronic City,F20,Vivo X210 Pro,flagship,79999,0.1946,64431,ramping,0.644,1,1000,10025.6666776,0.1556031518616815,1,64431,15567.8054,False,"MobiMart Electronic City: 1 units of Vivo X210 Pro - expected demand 0.6/week, capital tied up Rs 64,431, expected gross profit Rs 15,568, ROI 0.24x"
BLR-02,MobiMart Koramangala,M18,Nothing Phone (4a),mid,29999,0.1426,25721,ramping,0.9309523809523809,1,1000,3982.4815319047616,0.1548338529569131,1,25721,4277.8574,False,"MobiMart Koramangala: 1 units of Nothing Phone (4a) - expected demand 0.9/week, capital tied up Rs 25,721, expected gross profit Rs 4,278, ROI 0.17x"
BLR-02,MobiMart Koramangala,M19,Samsung Galaxy A37,mid,33999,0.1426,29151,ramping,0.9309523809523809,1,1000,4513.49677,0.15483162738842576,1,29151,4848.2574,False,"MobiMart Koramangala: 1 units of Samsung Galaxy A37 - expected demand 0.9/week, capital tied up Rs 29,151, expected gross profit Rs 4,848, ROI 0.17x"
BLR-04,MobiMart Whitefield,F16,Xiaomi 16,flagship,67999,0.2027,54216,declining,0.6071428571428571,1,1000,8368.491217857141,0.15435464102584368,1,54216,13783.397299999999,False,"MobiMart Whitefield: 1 units of Xiaomi 16 - expected demand 0.6/week, capital tied up Rs 54,216, expected gross profit Rs 13,783, ROI 0.25x"
MYS-02,MobiMart Kuvempunagar,M16,Motorola Edge 70 Fusion,mid,23999,0.1383,20680,declining,1.9023809523809523,2,1000,6314.119757857143,0.15266246996753247,2,41360,6638.1234,False,"MobiMart Kuvempunagar: 2 units of Motorola Edge 70 Fusion - expected demand 1.9/week, capital tied up Rs 41,360, expected gross profit Rs 6,638, ROI 0.16x"
MAN-01,MobiMart Court Road,F14,Vivo X210,flagship,69999,0.1731,57882,declining,0.7285714285714285,1,1000,8827.973884285713,0.1525167389565964,1,57882,12116.8269,False,"MobiMart Court Road: 1 units of Vivo X210 - expected demand 0.7/week, capital tied up Rs 57,882, expected gross profit Rs 12,117, ROI 0.21x"
MAN-01,MobiMart Court Road,F17,iPhone 17 Pro Max,flagship,139900,0.2178,109430,ramping,0.5476190476190476,1,1000,16686.072857142855,0.152481703894205,1,109430,30470.219999999998,False,"MobiMart Court Road: 1 units of iPhone 17 Pro Max - expected demand 0.5/week, capital tied up Rs 109,430, expected gross profit Rs 30,470, ROI 0.28x"
MYS-02,MobiMart Kuvempunagar,M15,Vivo V51e,mid,30999,0.1402,26653,declining,1.861904761904762,2,1000,8091.949437142857,0.15180185039475588,2,53306,8692.1196,False,"MobiMart Kuvempunagar: 2 units of Vivo V51e - expected demand 1.9/week, capital tied up Rs 53,306, expected gross profit Rs 8,692, ROI 0.16x"
HUB-02,MobiMart Gokul Road,M15,Vivo V51e,mid,30999,0.1402,26653,declining,0.930952380952381,1,1000,4045.9747185714286,0.15180185039475588,1,26653,4346.0598,False,"MobiMart Gokul Road: 1 units of Vivo V51e - expected demand 0.9/week, capital tied up Rs 26,653, expected gross profit Rs 4,346, ROI 0.16x"
BLR-08,MobiMart Electronic City,F15,Pixel 10 Pro,flagship,114999,0.1999,92011,declining,0.6071428571428571,1,1000,13957.182203571427,0.1516903653212271,1,92011,22988.3001,False,"MobiMart Electronic City: 1 units of Pixel 10 Pro - expected demand 0.6/week, capital tied up Rs 92,011, expected gross profit Rs 22,988, ROI 0.25x"
BEL-01,MobiMart Cantonment,M12,Redmi Note 15,mid,19999,0.1391,17217,declining,0.930952380952381,1,1000,2589.7800283333336,0.15041993543203425,1,17217,2781.8609,False,"MobiMart Cantonment: 1 units of Redmi Note 15 - expected demand 0.9/week, capital tied up Rs 17,217, expected gross profit Rs 2,782, ROI 0.16x"
BLR-05,MobiMart Malleshwaram,M18,Nothing Phone (4a),mid,29999,0.1426,25721,ramping,1.807142857142857,2,1000,7730.699444285714,0.1502799161052392,2,51442,8555.7148,False,"MobiMart Malleshwaram: 2 units of Nothing Phone (4a) - expected demand 1.8/week, capital tied up Rs 51,442, expected gross profit Rs 8,556, ROI 0.17x"
BLR-02,MobiMart Koramangala,F19,OnePlus Open 3,flagship,124999,0.2152,98099,ramping,0.5476190476190476,1,1000,14730.834533333333,0.15016294287743334,1,98099,26899.7848,False,"MobiMart Koramangala: 1 units of OnePlus Open 3 - expected demand 0.5/week, capital tied up Rs 98,099, expected gross profit Rs 26,900, ROI 0.27x"
MAN-01,MobiMart Court Road,M15,Vivo V51e,mid,30999,0.1402,26653,declining,2.7523809523809524,3,1000,11962.012211428571,0.1496018235774406,3,79959,13038.179399999999,False,"MobiMart Court Road: 3 units of Vivo V51e - expected demand 2.8/week, capital tied up Rs 79,959, expected gross profit Rs 13,038, ROI 0.16x"
BLR-01,MobiMart Jayanagar,M17,POCO X8 Pro,mid,28999,0.1287,25267,peaking,2.0,2,1000,7464.342600000001,0.14770931649978233,2,50534,7464.342600000001,False,"MobiMart Jayanagar: 2 units of POCO X8 Pro - expected demand 2.0/week, capital tied up Rs 50,534, expected gross profit Rs 7,464, ROI 0.15x"
MAN-01,MobiMart Court Road,M04,OnePlus Nord CE5,mid,24999,0.1444,21389,near end-of-life,0.8699999999999999,1,1000,3140.5743719999996,0.1468312858011127,1,21389,3609.8556,False,"MobiMart Court Road: 1 units of OnePlus Nord CE5 - expected demand 0.9/week, capital tied up Rs 21,389, expected gross profit Rs 3,610, ROI 0.17x"
BLR-03,MobiMart Indiranagar,M18,Nothing Phone (4a),mid,29999,0.1426,25721,ramping,1.7523809523809522,2,1000,7496.435824761904,0.14572597925356526,2,51442,8555.7148,False,"MobiMart Indiranagar: 2 units of Nothing Phone (4a) - expected demand 1.8/week, capital tied up Rs 51,442, expected gross profit Rs 8,556, ROI 0.17x"
BLR-04,MobiMart Whitefield,M18,Nothing Phone (4a),mid,29999,0.1426,25721,ramping,1.7523809523809522,2,1000,7496.435824761904,0.14572597925356526,2,51442,8555.7148,False,"MobiMart Whitefield: 2 units of Nothing Phone (4a) - expected demand 1.8/week, capital tied up Rs 51,442, expected gross profit Rs 8,556, ROI 0.17x"
DAV-01,MobiMart PJ Extension,M18,Nothing Phone (4a),mid,29999,0.1426,25721,ramping,0.8761904761904761,1,1000,3748.217912380952,0.14572597925356526,1,25721,4277.8574,False,"MobiMart PJ Extension: 1 units of Nothing Phone (4a) - expected demand 0.9/week, capital tied up Rs 25,721, expected gross profit Rs 4,278, ROI 0.17x"
HOS-01,MobiMart Hosur Road,M18,Nothing Phone (4a),mid,29999,0.1426,25721,ramping,0.8761904761904761,1,1000,3748.217912380952,0.14572597925356526,1,25721,4277.8574,False,"MobiMart Hosur Road: 1 units of Nothing Phone (4a) - expected demand 0.9/week, capital tied up Rs 25,721, expected gross profit Rs 4,278, ROI 0.17x"
KAL-01,MobiMart KCD Road,M19,Samsung Galaxy A37,mid,33999,0.1426,29151,ramping,0.8761904761904761,1,1000,4247.9969599999995,0.1457238846008713,1,29151,4848.2574,False,"MobiMart KCD Road: 1 units of Samsung Galaxy A37 - expected demand 0.9/week, capital tied up Rs 29,151, expected gross profit Rs 4,848, ROI 0.17x"
BLR-03,MobiMart Indiranagar,M16,Motorola Edge 70 Fusion,mid,23999,0.1383,20680,declining,3.6023809523809525,4,1000,11956.524647857144,0.1445421258203233,4,82720,13276.2468,False,"MobiMart Indiranagar: 4 units of Motorola Edge 70 Fusion - expected demand 3.6/week, capital tied up Rs 82,720, expected gross profit Rs 13,276, ROI 0.16x"
BLR-08,MobiMart Electronic City,F16,Xiaomi 16,flagship,67999,0.2027,54216,declining,0.5666666666666667,1,1000,7810.591803333332,0.14406433162412077,1,54216,13783.397299999999,False,"MobiMart Electronic City: 1 units of Xiaomi 16 - expected demand 0.6/week, capital tied up Rs 54,216, expected gross profit Rs 13,783, ROI 0.25x"
SHI-01,MobiMart Vidya Nagar,F16,Xiaomi 16,flagship,67999,0.2027,54216,declining,0.5666666666666667,1,1000,7810.591803333332,0.14406433162412077,1,54216,13783.397299999999,False,"MobiMart Vidya Nagar: 1 units of Xiaomi 16 - expected demand 0.6/week, capital tied up Rs 54,216, expected gross profit Rs 13,783, ROI 0.25x"
BLR-02,MobiMart Koramangala,M12,Redmi Note 15,mid,19999,0.1391,17217,declining,0.8904761904761905,1,1000,2477.1808966666667,0.1438799382393371,1,17217,2781.8609,False,"MobiMart Koramangala: 1 units of Redmi Note 15 - expected demand 0.9/week, capital tied up Rs 17,217, expected gross profit Rs 2,782, ROI 0.16x"
HUB-01,MobiMart Vidya Nagar,M12,Redmi Note 15,mid,19999,0.1391,17217,declining,0.8904761904761905,1,1000,2477.1808966666667,0.1438799382393371,1,17217,2781.8609,False,"MobiMart Vidya Nagar: 1 units of Redmi Note 15 - expected demand 0.9/week, capital tied up Rs 17,217, expected gross profit Rs 2,782, ROI 0.16x"
HUB-02,MobiMart Gokul Road,M12,Redmi Note 15,mid,19999,0.1391,17217,declining,0.8904761904761905,1,1000,2477.1808966666667,0.1438799382393371,1,17217,2781.8609,False,"MobiMart Gokul Road: 1 units of Redmi Note 15 - expected demand 0.9/week, capital tied up Rs 17,217, expected gross profit Rs 2,782, ROI 0.16x"
TUM-01,MobiMart MG Road,M12,Redmi Note 15,mid,19999,0.1391,17217,declining,0.8904761904761905,1,1000,2477.1808966666667,0.1438799382393371,1,17217,2781.8609,False,"MobiMart MG Road: 1 units of Redmi Note 15 - expected demand 0.9/week, capital tied up Rs 17,217, expected gross profit Rs 2,782, ROI 0.16x"
BLR-03,MobiMart Indiranagar,M15,Vivo V51e,mid,30999,0.1402,26653,declining,2.630952380952381,3,1000,11434.276378571427,0.14300174312549466,3,79959,13038.179399999999,False,"MobiMart Indiranagar: 3 units of Vivo V51e - expected demand 2.6/week, capital tied up Rs 79,959, expected gross profit Rs 13,038, ROI 0.16x"
BLR-03,MobiMart Indiranagar,F12,iPhone 17 Pro,flagship,124900,0.213,98296,declining,0.5261904761904762,1,1000,13998.61357142857,0.14241285069004406,1,98296,26603.7,False,"MobiMart Indiranagar: 1 units of iPhone 17 Pro - expected demand 0.5/week, capital tied up Rs 98,296, expected gross profit Rs 26,604, ROI 0.27x"
BEL-02,MobiMart Tilakwadi,F12,iPhone 17 Pro,flagship,124900,0.213,98296,declining,0.5261904761904762,1,1000,13998.61357142857,0.14241285069004406,1,98296,26603.7,False,"MobiMart Tilakwadi: 1 units of iPhone 17 Pro - expected demand 0.5/week, capital tied up Rs 98,296, expected gross profit Rs 26,604, ROI 0.27x"
BLR-08,MobiMart Electronic City,M04,OnePlus Nord CE5,mid,24999,0.1444,21389,near end-of-life,0.8400000000000001,1,1000,3032.2787040000007,0.14176813801486748,1,21389,3609.8556,False,"MobiMart Electronic City: 1 units of OnePlus Nord CE5 - expected demand 0.8/week, capital tied up Rs 21,389, expected gross profit Rs 3,610, ROI 0.17x"
BEL-01,MobiMart Cantonment,M14,OnePlus Nord CE6,mid,25999,0.1259,22726,declining,0.9714285714285713,1,1000,3179.751982857143,0.1399169225933795,1,22726,3273.2741,False,"MobiMart Cantonment: 1 units of OnePlus Nord CE6 - expected demand 1.0/week, capital tied up Rs 22,726, expected gross profit Rs 3,273, ROI 0.14x"
MAN-02,MobiMart Kottara,M16,Motorola Edge 70 Fusion,mid,23999,0.1383,20680,declining,1.7404761904761903,2,1000,5776.747863571428,0.13966991933199777,2,41360,6638.1234,False,"MobiMart Kottara: 2 units of Motorola Edge 70 Fusion - expected demand 1.7/week, capital tied up Rs 41,360, expected gross profit Rs 6,638, ROI 0.16x"
BLR-02,MobiMart Koramangala,M15,Vivo V51e,mid,30999,0.1402,26653,declining,1.7,2,1000,7388.301659999999,0.13860168949086404,2,53306,8692.1196,False,"MobiMart Koramangala: 2 units of Vivo V51e - expected demand 1.7/week, capital tied up Rs 53,306, expected gross profit Rs 8,692, ROI 0.16x"
BLR-01,MobiMart Jayanagar,F11,Samsung Galaxy S26,flagship,79999,0.1658,66735,near end-of-life,0.6904761904761905,1,1000,9158.36170952381,0.13723476001384297,1,66735,13263.8342,False,"MobiMart Jayanagar: 1 units of Samsung Galaxy S26 - expected demand 0.7/week, capital tied up Rs 66,735, expected gross profit Rs 13,264, ROI 0.20x"
BLR-08,MobiMart Electronic City,F17,iPhone 17 Pro Max,flagship,139900,0.2178,109430,ramping,0.49285714285714277,1,1000,15017.46557142857,0.1372335335047845,1,109430,30470.219999999998,False,"MobiMart Electronic City: 1 units of iPhone 17 Pro Max - expected demand 0.5/week, capital tied up Rs 109,430, expected gross profit Rs 30,470, ROI 0.28x"
MYS-02,MobiMart Kuvempunagar,F17,iPhone 17 Pro Max,flagship,139900,0.2178,109430,ramping,0.49285714285714277,1,1000,15017.46557142857,0.1372335335047845,1,109430,30470.219999999998,False,"MobiMart Kuvempunagar: 1 units of iPhone 17 Pro Max - expected demand 0.5/week, capital tied up Rs 109,430, expected gross profit Rs 30,470, ROI 0.28x"
MAN-01,MobiMart Court Road,M18,Nothing Phone (4a),mid,29999,0.1426,25721,ramping,0.8214285714285714,1,1000,3513.9542928571427,0.13661810555021744,1,25721,4277.8574,False,"MobiMart Court Road: 1 units of Nothing Phone (4a) - expected demand 0.8/week, capital tied up Rs 25,721, expected gross profit Rs 4,278, ROI 0.17x"
BLR-04,MobiMart Whitefield,M19,Samsung Galaxy A37,mid,33999,0.1426,29151,ramping,0.8214285714285714,1,1000,3982.49715,0.13661614181331688,1,29151,4848.2574,False,"MobiMart Whitefield: 1 units of Samsung Galaxy A37 - expected demand 0.8/week, capital tied up Rs 29,151, expected gross profit Rs 4,848, ROI 0.17x"
DAV-01,MobiMart PJ Extension,M16,Motorola Edge 70 Fusion,mid,23999,0.1383,20680,declining,0.85,1,1000,2821.202445,0.1364217816731141,1,20680,3319.0617,False,"MobiMart PJ Extension: 1 units of Motorola Edge 70 Fusion - expected demand 0.8/week, capital tied up Rs 20,680, expected gross profit Rs 3,319, ROI 0.16x"
BLR-04,MobiMart Whitefield,F14,Vivo X210,flagship,69999,0.1731,57882,declining,1.295238095238095,2,1000,15694.175794285713,0.1355704346280857,2,115764,24233.6538,False,"MobiMart Whitefield: 2 units of Vivo X210 - expected demand 1.3/week, capital tied up Rs 115,764, expected gross profit Rs 24,234, ROI 0.21x"
HUB-01,MobiMart Vidya Nagar,M15,Vivo V51e,mid,30999,0.1402,26653,declining,1.6595238095238094,2,1000,7212.389715714285,0.1353016492648911,2,53306,8692.1196,False,"MobiMart Vidya Nagar: 2 units of Vivo V51e - expected demand 1.7/week, capital tied up Rs 53,306, expected gross profit Rs 8,692, ROI 0.16x"
